Date,Open,High,Low,Close,S_3,S_15,S_60,Corr,Std_U,Std_D,OD,OL
2016-07-06,130.5,131.149994,129.820007,130.229996,128.11666866666664,124.4019994,120.91250013333334,0.6005545245451309,0.6499939999999924,0.6799929999999961,1.6999969999999962,1.0299990000000037
2016-07-07,129.820007,130.119995,128.979996,129.740005,129.3700003333333,124.89933266666667,121.08250008333334,0.7037835765832631,0.2999879999999848,0.8400110000000041,-0.6799929999999961,-0.40998899999999594
2016-07-08,129.850006,130.520004,128.970001,130.520004,129.81333399999997,125.30333300000001,121.24400011666667,0.7391168552120148,0.6699979999999925,0.8800050000000113,0.02999900000000366,0.11000100000001112
2016-07-11,129.490005,129.899994,129.160004,129.289993,130.16333499999996,125.84600013333333,121.43983356666666,0.7897015428553803,0.40998899999999594,0.33000100000001,-0.3600010000000111,-1.0299990000000037
2016-07-12,128.520004,128.539993,126.989998,127.150002,129.85000066666666,126.20199986666667,121.64283343333334,0.7874483526115491,0.019989000000009582,1.5300060000000002,-0.9700009999999963,-0.7699890000000096
2016-07-13,128.0,128.429993,127.610001,128.320007,128.98666633333332,126.46466673333333,121.79666683333335,0.6748561183524191,0.4299929999999961,0.3899990000000031,-0.5200040000000001,0.8499979999999994
2016-07-14,126.309998,127.370003,126.029999,127.330002,128.253334,126.96333413333333,121.97300031666667,0.5159575260010495,1.0600050000000039,0.27999899999998945,-1.6900020000000069,-2.010009000000011
2016-07-15,126.379997,127.190002,126.330002,126.839996,127.60000366666664,127.39200079999999,122.10216698333333,0.3494702019947422,0.8100050000000039,0.04999500000000978,0.06999900000000991,-0.9500049999999902
2016-07-18,127.019997,127.5,126.629997,127.040001,127.49666833333332,127.84066713333333,122.23333356666667,0.17772039524411123,0.4800029999999964,0.39000000000000057,0.6400000000000006,0.1800010000000043
2016-07-19,126.949997,127.349998,126.82,127.209999,127.06999966666665,127.91000053333332,122.36033361666667,0.2769900745706958,0.40000100000000316,0.12999700000000303,-0.07000000000000739,-0.09000400000000752
2016-07-20,125.5,126.120003,125.309998,125.389999,127.02999866666664,127.94533380000001,122.51566695,0.539475164597947,0.620002999999997,0.1900020000000069,-1.4499969999999962,-1.7099989999999963
2016-07-21,125.660004,127.370003,125.599998,127.300003,126.5466663333333,127.9500004,122.63500021666667,0.7717035967916943,1.7099989999999963,0.060006000000001336,0.1600040000000007,0.2700049999999976
2016-07-22,126.43,126.519997,126.010002,126.349998,126.63333366666664,128.0473342,122.77833365,0.7147991028965616,0.08999699999999677,0.41999800000000675,0.7699960000000061,-0.870002999999997
