Date,Close,High,P_H,Low,P_L,Signal,gld_returns,strategy_returns
2018-11-28,115.379997,116.07,115.2836582438272,114.589996,114.28591974528771,-1,0.0037407569484322334,0.0037407569484322334
2018-11-29,115.739998,116.239998,116.48919770399826,115.559998,115.48926723122122,0,0.0031201335531323426,-0.0031201335531323426
2018-11-30,115.540001,115.660004,115.9148502887395,115.040001,114.9231756399542,0,-0.001727985168964663,-0.0
2018-12-03,116.410004,116.769997,117.13463808777608,116.300003,116.09374004654848,0,0.007529885688680293,0.0
2018-12-04,117.120003,117.389999,117.88165709423316,116.93,116.84316247947152,0,0.0060991235770424534,0.0
2018-12-06,117.139999,117.690002,117.873470562514,116.919998,116.85663212107582,0,0.00017073086994368047,0.0
2018-12-07,118.089996,118.230003,118.13401633952849,117.540001,117.11200256577482,-1,0.008109928360166663,0.0
2018-12-10,117.68,117.940002,118.20571149745484,117.419998,117.19695571988431,0,-0.0034718944354946712,0.0034718944354946712
2018-12-11,117.540001,117.889999,118.19471398612023,117.349998,117.17404302865408,0,-0.001189658395649218,-0.0
2018-12-12,117.790001,117.949997,118.23517158918705,117.610001,117.20839675956093,0,0.0021269354932198503,0.0
2018-12-13,117.529999,117.620003,118.05918645986792,117.260002,117.04608784638243,0,-0.002207335069128624,-0.0
2018-12-14,117.059998,117.300003,117.15126824515232,116.580002,116.14776796348468,-1,-0.003998987526580455,-0.0
2018-12-17,117.870003,118.029999,117.91392784361024,117.349998,116.89063709730507,-1,0.006919571278311443,-0.006919571278311443
2018-12-18,118.150002,118.199997,118.36404054870154,117.809998,117.34823472397036,0,0.0023754898860908202,-0.0023754898860908202
2018-12-19,117.43,118.959999,118.75490668746794,117.400002,117.72572814921598,0,-0.006093965195193118,-0.0
2018-12-20,119.239998,119.739998,119.65596022314575,118.68,118.5854126010696,-1,0.015413420761304586,0.0
2018-12-21,118.720001,119.25,119.69335242356765,118.57,118.64671735015838,1,-0.004360927614239007,0.004360927614239007
2018-12-24,120.019997,120.139999,120.08839321675988,119.57,119.04083985456874,-1,0.01095010098593252,0.01095010098593252
2018-12-26,119.660004,121.0,121.13613484627764,119.57,120.08992255650172,1,-0.002999441834680261,0.002999441834680261
2018-12-27,120.57,120.900002,121.08819718546042,120.139999,120.0330624040664,0,0.007604846812473642,0.007604846812473642
2018-12-28,121.059998,121.080002,121.32032473207832,120.720001,120.27000062855832,0,0.004064012606784351,0.0
2018-12-31,121.25,121.260002,121.49796350409642,120.830002,120.45014093704398,0,0.0015694862311166347,0.0
2019-01-02,121.330002,121.75,121.88598475062112,120.879997,120.82591857711012,0,0.0006598103092783081,0.0
2019-01-03,122.43,122.459999,122.32157992950788,121.730003,121.2521805459172,-1,0.009066166503483686,0.0
2019-01-04,121.440002,121.599998,121.8408203507594,120.690002,120.79265198852504,1,-0.008086237033406829,0.008086237033406829
2019-01-07,121.860001,122.220001,122.72211229759964,121.57,121.63998853365896,1,0.003458489732238279,0.003458489732238279
2019-01-08,121.529999,121.709999,121.69001951151483,121.059998,120.62941451252348,-1,-0.002708041993204957,-0.002708041993204957
2019-01-09,122.309998,122.339996,121.99799320535897,121.440002,120.9339717075606,-1,0.006418160177883214,-0.006418160177883214
2019-01-10,121.589996,122.18,122.5159336745772,121.57,121.4545074847999,0,-0.005886697831521404,0.005886697831521404
2019-01-11,121.800003,122.050003,122.28509301776111,121.660004,121.21154934492364,0,0.0017271733440964443,0.0
2019-01-14,122.089996,122.239998,122.69982583197034,121.870003,121.61688541014824,0,0.002380894851045312,0.0
2019-01-15,121.879997,122.379997,122.81400839699982,121.620003,121.7327819508042,1,-0.001720034457204811,-0.0
2019-01-16,122.269997,122.440002,122.586717243707,122.019997,121.49084562264508,0,0.0031998688020971056,0.0031998688020971056
2019-01-17,122.110001,122.260002,122.5832862016754,121.809998,121.47523692416772,0,-0.001308546691139667,-0.0
2019-01-18,121.019997,121.519997,121.77255226541033,121.019997,120.69605237346693,0,-0.008926410540279983,-0.0
2019-01-22,121.449997,121.5,121.760979759017,120.900002,120.6483742202105,0,0.003553131801845799,0.0
2019-01-23,121.279999,121.540001,121.512025085553,120.860001,120.42251874010115,-1,-0.001399736551660813,-0.0
2019-01-24,121.089996,121.360001,121.70000765817352,120.919998,120.62562763769972,0,-0.001566647440358282,0.001566647440358282
2019-01-25,122.860001,122.910004,122.55919422258036,122.019997,121.48679081937618,-1,0.014617268630515046,0.0
2019-01-28,123.290001,123.290001,123.26108260428614,122.720001,122.18463210096348,-1,0.003499918578057093,-0.003499918578057093
2019-01-29,123.980003,124.0,124.2356207979513,123.459999,123.13858189114592,0,0.005596577130370761,-0.005596577130370761
2019-01-30,124.690002,125.07,124.44326477466696,123.699997,123.34927189887398,-1,0.005726721913371868,0.0
2019-01-31,124.75,125.230003,125.7185879599376,124.620003,124.6190812822816,0,0.00048117731203500824,-0.00048117731203500824
2019-02-01,124.5,125.050003,125.42996007882306,124.370003,124.3285367088022,0,-0.002004008016032066,-0.0
2019-02-04,123.959999,124.290001,124.54363497421936,123.82,123.44761391036954,0,-0.004337357429718858,-0.0
2019-02-05,124.279999,124.419998,124.85942886687698,124.050003,123.7552168718749,0,0.002581477916920649,0.0
2019-02-06,123.440002,124.190002,124.70573830359808,123.400002,123.61632018955616,1,-0.006758907360467581,-0.0
2019-02-07,123.739998,123.949997,124.3532264673274,123.440002,123.25895591655404,0,0.002430298081168125,0.002430298081168125
2019-02-08,124.209999,124.330002,124.59725257061528,123.980003,123.50497286019537,0,0.0037982948730934663,0.0
2019-02-11,123.599998,123.82,123.71725579461835,123.190002,122.6410953108694,-1,-0.00491104584905433,-0.0
2019-02-12,123.860001,124.029999,124.52901211551864,123.610001,123.413421197891,0,0.002103584176433415,-0.002103584176433415
2019-02-13,123.370003,124.550003,124.39292338743336,123.309998,123.28126075260894,-1,-0.003956063265331267,-0.0
2019-02-14,124.059998,124.199997,124.3859776587674,123.529999,123.28858198810308,0,0.005592891166582792,-0.005592891166582792
2019-02-15,124.800003,125.0,125.1239205713978,124.18,124.03002632124152,0,0.005964896114217355,0.0
2019-02-19,126.699997,126.790001,126.51054801682724,125.93,125.39011451017667,-1,0.01522431053146689,0.0
2019-02-20,126.480003,127.209999,127.51018990686131,126.309998,126.39681211781355,1,-0.001736337846953484,0.001736337846953484
2019-02-21,125.050003,126.220001,126.67973666970543,125.050003,125.57239761677826,1,-0.011306135089196645,-0.011306135089196645
2019-02-22,125.5,125.949997,126.11624345400804,125.389999,124.98199579830064,0,0.0035985364990354096,0.0035985364990354096
2019-02-25,125.370003,125.900002,126.3408159657566,125.230003,125.22463426824145,0,-0.0010358326693227227,-0.0
